ISA_AOFD_ER (in the sense of ISO): age --> native-country (0.2408026755852843)
ISA_AOFD_ER (in the sense of ISO): workclass --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): education --> native-country (0.23745819397993312)
ISA_AOFD_ER (in the sense of ISO): marital-status --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): occupation --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): relationship --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): race --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): sex --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): hours-per-week --> native-country (0.22408026755852842)
ISA_AOFD_ER (in the sense of ISO): salary --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): age, workclass --> native-country (0.2140468227424749)
ISA_AOFD_ER (in the sense of ISO): age, education --> native-country (0.12709030100334448)
ISA_AOFD_ER (in the sense of ISO): age, marital-status --> native-country (0.1939799331103679)
ISA_AOFD_ER (in the sense of ISO): age, occupation --> native-country (0.10033444816053512)
ISA_AOFD_ER (in the sense of ISO): age, relationship --> native-country (0.1939799331103679)
ISA_AOFD_ER (in the sense of ISO): age, race --> native-country (0.20066889632107024)
ISA_AOFD_ER (in the sense of ISO): age, sex --> native-country (0.21070234113712374)
ISA_AOFD_ER (in the sense of ISO): age, hours-per-week --> native-country (0.14046822742474915)
ISA_AOFD_ER (in the sense of ISO): age, salary --> native-country (0.23411371237458195)
ISA_AOFD_ER (in the sense of ISO): workclass, education --> native-country (0.23076923076923078)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status --> native-country (0.2408026755852843)
ISA_AOFD_ER (in the sense of ISO): workclass, occupation --> native-country (0.2408026755852843)
ISA_AOFD_ER (in the sense of ISO): workclass, relationship --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): workclass, race --> native-country (0.24414715719063546)
ISA_AOFD_ER (in the sense of ISO): workclass, sex --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): workclass, hours-per-week --> native-country (0.21739130434782608)
ISA_AOFD_ER (in the sense of ISO): workclass, salary --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): education, marital-status --> native-country (0.22073578595317725)
ISA_AOFD_ER (in the sense of ISO): education, occupation --> native-country (0.21739130434782608)
ISA_AOFD_ER (in the sense of ISO): education, relationship --> native-country (0.2140468227424749)
ISA_AOFD_ER (in the sense of ISO): education, race --> native-country (0.23745819397993312)
ISA_AOFD_ER (in the sense of ISO): education, sex --> native-country (0.23745819397993312)
ISA_AOFD_ER (in the sense of ISO): education, hours-per-week --> native-country (0.18729096989966554)
ISA_AOFD_ER (in the sense of ISO): education, salary --> native-country (0.23745819397993312)
ISA_AOFD_ER (in the sense of ISO): marital-status, occupation --> native-country (0.23076923076923078)
ISA_AOFD_ER (in the sense of ISO): marital-status, relationship --> native-country (0.23745819397993312)
ISA_AOFD_ER (in the sense of ISO): marital-status, race --> native-country (0.23745819397993312)
ISA_AOFD_ER (in the sense of ISO): marital-status, sex --> native-country (0.24414715719063546)
ISA_AOFD_ER (in the sense of ISO): marital-status, hours-per-week --> native-country (0.20735785953177258)
ISA_AOFD_ER (in the sense of ISO): marital-status, salary --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): occupation, relationship --> native-country (0.22742474916387959)
ISA_AOFD_ER (in the sense of ISO): occupation, race --> native-country (0.23745819397993312)
ISA_AOFD_ER (in the sense of ISO): occupation, sex --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): occupation, hours-per-week --> native-country (0.20066889632107024)
ISA_AOFD_ER (in the sense of ISO): occupation, salary --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): relationship, race --> native-country (0.23745819397993312)
ISA_AOFD_ER (in the sense of ISO): relationship, sex --> native-country (0.24414715719063546)
ISA_AOFD_ER (in the sense of ISO): relationship, hours-per-week --> native-country (0.2040133779264214)
ISA_AOFD_ER (in the sense of ISO): relationship, salary --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): race, sex --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): race, hours-per-week --> native-country (0.22073578595317725)
ISA_AOFD_ER (in the sense of ISO): race, salary --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): sex, hours-per-week --> native-country (0.22073578595317725)
ISA_AOFD_ER (in the sense of ISO): sex, salary --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): hours-per-week, salary --> native-country (0.22408026755852842)
ISA_AOFD_ER (in the sense of ISO): age, relationship, race, hours-per-week --> native-country (0.06354515050167224)
ISA_AOFD_ER (in the sense of ISO): age, relationship, race, salary --> native-country (0.12040133779264214)
ISA_AOFD_ER (in the sense of ISO): age, relationship, sex, hours-per-week --> native-country (0.06688963210702341)
ISA_AOFD_ER (in the sense of ISO): age, relationship, sex, salary --> native-country (0.14046822742474915)
ISA_AOFD_ER (in the sense of ISO): age, relationship, hours-per-week, salary --> native-country (0.0802675585284281)
ISA_AOFD_ER (in the sense of ISO): age, race, sex, hours-per-week --> native-country (0.07357859531772576)
ISA_AOFD_ER (in the sense of ISO): age, race, sex, salary --> native-country (0.14381270903010032)
ISA_AOFD_ER (in the sense of ISO): age, race, hours-per-week, salary --> native-country (0.09698996655518395)
ISA_AOFD_ER (in the sense of ISO): age, sex, hours-per-week, salary --> native-country (0.08695652173913043)
ISA_AOFD_ER (in the sense of ISO): workclass, education, marital-status, occupation --> native-country (0.14381270903010032)
ISA_AOFD_ER (in the sense of ISO): workclass, education, marital-status, relationship --> native-country (0.18729096989966554)
ISA_AOFD_ER (in the sense of ISO): workclass, education, marital-status, race --> native-country (0.17725752508361203)
ISA_AOFD_ER (in the sense of ISO): workclass, education, marital-status, sex --> native-country (0.20066889632107024)
ISA_AOFD_ER (in the sense of ISO): workclass, education, marital-status, hours-per-week --> native-country (0.13043478260869565)
ISA_AOFD_ER (in the sense of ISO): workclass, education, marital-status, salary --> native-country (0.1939799331103679)
ISA_AOFD_ER (in the sense of ISO): workclass, education, occupation, relationship --> native-country (0.13377926421404682)
ISA_AOFD_ER (in the sense of ISO): workclass, education, occupation, race --> native-country (0.14381270903010032)
ISA_AOFD_ER (in the sense of ISO): workclass, education, occupation, sex --> native-country (0.1705685618729097)
ISA_AOFD_ER (in the sense of ISO): workclass, education, occupation, hours-per-week --> native-country (0.10367892976588629)
ISA_AOFD_ER (in the sense of ISO): workclass, education, occupation, salary --> native-country (0.18394648829431437)
ISA_AOFD_ER (in the sense of ISO): workclass, education, relationship, race --> native-country (0.16387959866220736)
ISA_AOFD_ER (in the sense of ISO): workclass, education, relationship, sex --> native-country (0.19063545150501673)
ISA_AOFD_ER (in the sense of ISO): workclass, education, relationship, hours-per-week --> native-country (0.11705685618729098)
ISA_AOFD_ER (in the sense of ISO): workclass, education, relationship, salary --> native-country (0.18729096989966554)
ISA_AOFD_ER (in the sense of ISO): workclass, education, race, sex --> native-country (0.2040133779264214)
ISA_AOFD_ER (in the sense of ISO): workclass, education, race, hours-per-week --> native-country (0.14381270903010032)
ISA_AOFD_ER (in the sense of ISO): workclass, education, race, salary --> native-country (0.2040133779264214)
ISA_AOFD_ER (in the sense of ISO): workclass, education, sex, hours-per-week --> native-country (0.13712374581939799)
ISA_AOFD_ER (in the sense of ISO): workclass, education, sex, salary --> native-country (0.2140468227424749)
ISA_AOFD_ER (in the sense of ISO): workclass, education, hours-per-week, salary --> native-country (0.14381270903010032)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status, occupation, relationship --> native-country (0.19063545150501673)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status, occupation, race --> native-country (0.19063545150501673)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status, occupation, sex --> native-country (0.21070234113712374)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status, occupation, hours-per-week --> native-country (0.13377926421404682)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status, occupation, salary --> native-country (0.22073578595317725)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status, relationship, race --> native-country (0.2040133779264214)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status, relationship, sex --> native-country (0.21739130434782608)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status, relationship, hours-per-week --> native-country (0.15719063545150502)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status, relationship, salary --> native-country (0.22408026755852842)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status, race, sex --> native-country (0.22073578595317725)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status, race, hours-per-week --> native-country (0.1705685618729097)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status, race, salary --> native-country (0.22408026755852842)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status, sex, hours-per-week --> native-country (0.1605351170568562)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status, sex, salary --> native-country (0.2408026755852843)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status, hours-per-week, salary --> native-country (0.17391304347826086)
ISA_AOFD_ER (in the sense of ISO): workclass, occupation, relationship, race --> native-country (0.1705685618729097)
ISA_AOFD_ER (in the sense of ISO): workclass, occupation, relationship, sex --> native-country (0.21070234113712374)
ISA_AOFD_ER (in the sense of ISO): workclass, occupation, relationship, hours-per-week --> native-country (0.11036789297658862)
ISA_AOFD_ER (in the sense of ISO): workclass, occupation, relationship, salary --> native-country (0.21070234113712374)
ISA_AOFD_ER (in the sense of ISO): workclass, occupation, race, sex --> native-country (0.20735785953177258)
ISA_AOFD_ER (in the sense of ISO): workclass, occupation, race, hours-per-week --> native-country (0.13712374581939799)
ISA_AOFD_ER (in the sense of ISO): workclass, occupation, race, salary --> native-country (0.21070234113712374)
ISA_AOFD_ER (in the sense of ISO): workclass, occupation, sex, hours-per-week --> native-country (0.1505016722408027)
ISA_AOFD_ER (in the sense of ISO): workclass, occupation, sex, salary --> native-country (0.23076923076923078)
ISA_AOFD_ER (in the sense of ISO): workclass, occupation, hours-per-week, salary --> native-country (0.15719063545150502)
ISA_AOFD_ER (in the sense of ISO): workclass, relationship, race, sex --> native-country (0.22073578595317725)
ISA_AOFD_ER (in the sense of ISO): workclass, relationship, race, hours-per-week --> native-country (0.15719063545150502)
ISA_AOFD_ER (in the sense of ISO): workclass, relationship, race, salary --> native-country (0.22742474916387959)
ISA_AOFD_ER (in the sense of ISO): workclass, relationship, sex, hours-per-week --> native-country (0.1605351170568562)
ISA_AOFD_ER (in the sense of ISO): workclass, relationship, sex, salary --> native-country (0.2408026755852843)
ISA_AOFD_ER (in the sense of ISO): workclass, relationship, hours-per-week, salary --> native-country (0.1705685618729097)
ISA_AOFD_ER (in the sense of ISO): workclass, race, sex, hours-per-week --> native-country (0.18394648829431437)
ISA_AOFD_ER (in the sense of ISO): workclass, race, sex, salary --> native-country (0.2408026755852843)
ISA_AOFD_ER (in the sense of ISO): workclass, race, hours-per-week, salary --> native-country (0.19732441471571907)
ISA_AOFD_ER (in the sense of ISO): workclass, sex, hours-per-week, salary --> native-country (0.17725752508361203)
ISA_AOFD_ER (in the sense of ISO): education, marital-status, occupation, relationship --> native-country (0.13043478260869565)
ISA_AOFD_ER (in the sense of ISO): education, marital-status, occupation, race --> native-country (0.13043478260869565)
ISA_AOFD_ER (in the sense of ISO): education, marital-status, occupation, sex --> native-country (0.15384615384615385)
ISA_AOFD_ER (in the sense of ISO): education, marital-status, occupation, hours-per-week --> native-country (0.09698996655518395)
ISA_AOFD_ER (in the sense of ISO): education, marital-status, occupation, salary --> native-country (0.16387959866220736)
ISA_AOFD_ER (in the sense of ISO): education, marital-status, relationship, race --> native-country (0.1705685618729097)
ISA_AOFD_ER (in the sense of ISO): education, marital-status, relationship, sex --> native-country (0.19063545150501673)
ISA_AOFD_ER (in the sense of ISO): education, marital-status, relationship, hours-per-week --> native-country (0.12374581939799331)
ISA_AOFD_ER (in the sense of ISO): education, marital-status, relationship, salary --> native-country (0.20066889632107024)
ISA_AOFD_ER (in the sense of ISO): education, marital-status, race, sex --> native-country (0.1939799331103679)
ISA_AOFD_ER (in the sense of ISO): education, marital-status, race, hours-per-week --> native-country (0.13712374581939799)
ISA_AOFD_ER (in the sense of ISO): education, marital-status, race, salary --> native-country (0.19732441471571907)
ISA_AOFD_ER (in the sense of ISO): education, marital-status, sex, hours-per-week --> native-country (0.13377926421404682)
ISA_AOFD_ER (in the sense of ISO): education, marital-status, sex, salary --> native-country (0.2140468227424749)
ISA_AOFD_ER (in the sense of ISO): education, marital-status, hours-per-week, salary --> native-country (0.14715719063545152)
ISA_AOFD_ER (in the sense of ISO): education, occupation, relationship, race --> native-country (0.11371237458193979)
ISA_AOFD_ER (in the sense of ISO): education, occupation, relationship, sex --> native-country (0.13712374581939799)
ISA_AOFD_ER (in the sense of ISO): education, occupation, relationship, hours-per-week --> native-country (0.06354515050167224)
ISA_AOFD_ER (in the sense of ISO): education, occupation, relationship, salary --> native-country (0.13712374581939799)
ISA_AOFD_ER (in the sense of ISO): education, occupation, race, sex --> native-country (0.15719063545150502)
ISA_AOFD_ER (in the sense of ISO): education, occupation, race, hours-per-week --> native-country (0.09698996655518395)
ISA_AOFD_ER (in the sense of ISO): education, occupation, race, salary --> native-country (0.15384615384615385)
ISA_AOFD_ER (in the sense of ISO): education, occupation, sex, hours-per-week --> native-country (0.11371237458193979)
ISA_AOFD_ER (in the sense of ISO): education, occupation, sex, salary --> native-country (0.18394648829431437)
ISA_AOFD_ER (in the sense of ISO): education, occupation, hours-per-week, salary --> native-country (0.11705685618729098)
ISA_AOFD_ER (in the sense of ISO): education, relationship, race, sex --> native-country (0.1806020066889632)
ISA_AOFD_ER (in the sense of ISO): education, relationship, race, hours-per-week --> native-country (0.12374581939799331)
ISA_AOFD_ER (in the sense of ISO): education, relationship, race, salary --> native-country (0.19063545150501673)
ISA_AOFD_ER (in the sense of ISO): education, relationship, sex, hours-per-week --> native-country (0.12040133779264214)
ISA_AOFD_ER (in the sense of ISO): education, relationship, sex, salary --> native-country (0.2040133779264214)
ISA_AOFD_ER (in the sense of ISO): education, relationship, hours-per-week, salary --> native-country (0.13712374581939799)
ISA_AOFD_ER (in the sense of ISO): education, race, sex, hours-per-week --> native-country (0.15384615384615385)
ISA_AOFD_ER (in the sense of ISO): education, race, sex, salary --> native-country (0.21739130434782608)
ISA_AOFD_ER (in the sense of ISO): education, race, hours-per-week, salary --> native-country (0.1605351170568562)
ISA_AOFD_ER (in the sense of ISO): education, sex, hours-per-week, salary --> native-country (0.15719063545150502)
ISA_AOFD_ER (in the sense of ISO): marital-status, occupation, relationship, race --> native-country (0.17391304347826086)
ISA_AOFD_ER (in the sense of ISO): marital-status, occupation, relationship, sex --> native-country (0.19732441471571907)
ISA_AOFD_ER (in the sense of ISO): marital-status, occupation, relationship, hours-per-week --> native-country (0.11705685618729098)
ISA_AOFD_ER (in the sense of ISO): marital-status, occupation, relationship, salary --> native-country (0.19732441471571907)
ISA_AOFD_ER (in the sense of ISO): marital-status, occupation, race, sex --> native-country (0.1939799331103679)
ISA_AOFD_ER (in the sense of ISO): marital-status, occupation, race, hours-per-week --> native-country (0.12709030100334448)
ISA_AOFD_ER (in the sense of ISO): marital-status, occupation, race, salary --> native-country (0.20066889632107024)
ISA_AOFD_ER (in the sense of ISO): marital-status, occupation, sex, hours-per-week --> native-country (0.13043478260869565)
ISA_AOFD_ER (in the sense of ISO): marital-status, occupation, sex, salary --> native-country (0.2140468227424749)
ISA_AOFD_ER (in the sense of ISO): marital-status, occupation, hours-per-week, salary --> native-country (0.14381270903010032)
ISA_AOFD_ER (in the sense of ISO): marital-status, relationship, race, sex --> native-country (0.22073578595317725)
ISA_AOFD_ER (in the sense of ISO): marital-status, relationship, race, hours-per-week --> native-country (0.16387959866220736)
ISA_AOFD_ER (in the sense of ISO): marital-status, relationship, race, salary --> native-country (0.2140468227424749)
ISA_AOFD_ER (in the sense of ISO): marital-status, relationship, sex, hours-per-week --> native-country (0.16387959866220736)
ISA_AOFD_ER (in the sense of ISO): marital-status, relationship, sex, salary --> native-country (0.22742474916387959)
ISA_AOFD_ER (in the sense of ISO): marital-status, relationship, hours-per-week, salary --> native-country (0.1705685618729097)
ISA_AOFD_ER (in the sense of ISO): marital-status, race, sex, hours-per-week --> native-country (0.16722408026755853)
ISA_AOFD_ER (in the sense of ISO): marital-status, race, sex, salary --> native-country (0.23076923076923078)
ISA_AOFD_ER (in the sense of ISO): marital-status, race, hours-per-week, salary --> native-country (0.19063545150501673)
ISA_AOFD_ER (in the sense of ISO): marital-status, sex, hours-per-week, salary --> native-country (0.17725752508361203)
ISA_AOFD_ER (in the sense of ISO): occupation, relationship, race, sex --> native-country (0.18394648829431437)
ISA_AOFD_ER (in the sense of ISO): occupation, relationship, race, hours-per-week --> native-country (0.10367892976588629)
ISA_AOFD_ER (in the sense of ISO): occupation, relationship, race, salary --> native-country (0.17725752508361203)
ISA_AOFD_ER (in the sense of ISO): occupation, relationship, sex, hours-per-week --> native-country (0.12374581939799331)
ISA_AOFD_ER (in the sense of ISO): occupation, relationship, sex, salary --> native-country (0.22073578595317725)
ISA_AOFD_ER (in the sense of ISO): occupation, relationship, hours-per-week, salary --> native-country (0.12040133779264214)
ISA_AOFD_ER (in the sense of ISO): occupation, race, sex, hours-per-week --> native-country (0.1605351170568562)
ISA_AOFD_ER (in the sense of ISO): occupation, race, sex, salary --> native-country (0.22073578595317725)
ISA_AOFD_ER (in the sense of ISO): occupation, race, hours-per-week, salary --> native-country (0.1705685618729097)
ISA_AOFD_ER (in the sense of ISO): occupation, sex, hours-per-week, salary --> native-country (0.16387959866220736)
ISA_AOFD_ER (in the sense of ISO): relationship, race, sex, hours-per-week --> native-country (0.1705685618729097)
ISA_AOFD_ER (in the sense of ISO): relationship, race, sex, salary --> native-country (0.23411371237458195)
ISA_AOFD_ER (in the sense of ISO): relationship, race, hours-per-week, salary --> native-country (0.17725752508361203)
ISA_AOFD_ER (in the sense of ISO): relationship, sex, hours-per-week, salary --> native-country (0.18729096989966554)
ISA_AOFD_ER (in the sense of ISO): race, sex, hours-per-week, salary --> native-country (0.21070234113712374)
ISA_AOFD_ER (in the sense of ISO): age, workclass, education, marital-status, occupation --> native-country (0.010033444816053512)
ISA_AOFD_ER (in the sense of ISO): age, workclass, education, marital-status, relationship --> native-country (0.033444816053511704)
ISA_AOFD_ER (in the sense of ISO): age, workclass, education, marital-status, race --> native-country (0.030100334448160536)
ISA_AOFD_ER (in the sense of ISO): age, workclass, education, marital-status, sex --> native-country (0.030100334448160536)
ISA_AOFD_ER (in the sense of ISO): age, workclass, education, marital-status, hours-per-week --> native-country (0.026755852842809364)
ISA_AOFD_ER (in the sense of ISO): age, workclass, education, marital-status, salary --> native-country (0.05016722408026756)
ISA_AOFD_ER (in the sense of ISO): age, workclass, education, occupation, relationship --> native-country (0.006688963210702341)
ISA_AOFD_ER (in the sense of ISO): age, workclass, education, occupation, race --> native-country (0.016722408026755852)
ISA_AOFD_ER (in the sense of ISO): age, workclass, education, occupation, sex --> native-country (0.016722408026755852)
ISA_AOFD_ER (in the sense of ISO): age, workclass, education, occupation, hours-per-week --> native-country (0.010033444816053512)
ISA_AOFD_ER (in the sense of ISO): age, workclass, education, occupation, salary --> native-country (0.020066889632107024)
ISA_AOFD_ER (in the sense of ISO): age, workclass, education, relationship, race --> native-country (0.016722408026755852)
ISA_AOFD_ER (in the sense of ISO): age, workclass, education, relationship, sex --> native-country (0.026755852842809364)
ISA_AOFD_ER (in the sense of ISO): age, workclass, education, relationship, hours-per-week --> native-country (0.013377926421404682)
ISA_AOFD_ER (in the sense of ISO): age, workclass, education, relationship, salary --> native-country (0.030100334448160536)
ISA_AOFD_ER (in the sense of ISO): age, workclass, education, race, sex --> native-country (0.030100334448160536)
ISA_AOFD_ER (in the sense of ISO): age, workclass, education, race, hours-per-week --> native-country (0.026755852842809364)
ISA_AOFD_ER (in the sense of ISO): age, workclass, education, race, salary --> native-country (0.056856187290969896)
ISA_AOFD_ER (in the sense of ISO): age, workclass, education, sex, hours-per-week --> native-country (0.023411371237458192)
ISA_AOFD_ER (in the sense of ISO): age, workclass, education, sex, salary --> native-country (0.043478260869565216)
ISA_AOFD_ER (in the sense of ISO): age, workclass, education, hours-per-week, salary --> native-country (0.04013377926421405)
ISA_AOFD_ER (in the sense of ISO): age, workclass, marital-status, occupation, relationship --> native-country (0.023411371237458192)
ISA_AOFD_ER (in the sense of ISO): age, workclass, marital-status, occupation, race --> native-country (0.020066889632107024)
ISA_AOFD_ER (in the sense of ISO): age, workclass, marital-status, occupation, sex --> native-country (0.026755852842809364)
ISA_AOFD_ER (in the sense of ISO): age, workclass, marital-status, occupation, hours-per-week --> native-country (0.010033444816053512)
ISA_AOFD_ER (in the sense of ISO): age, workclass, marital-status, occupation, salary --> native-country (0.023411371237458192)
ISA_AOFD_ER (in the sense of ISO): age, workclass, marital-status, relationship, race --> native-country (0.10033444816053512)
ISA_AOFD_ER (in the sense of ISO): age, workclass, marital-status, relationship, sex --> native-country (0.10367892976588629)
ISA_AOFD_ER (in the sense of ISO): age, workclass, marital-status, relationship, hours-per-week --> native-country (0.06020066889632107)
ISA_AOFD_ER (in the sense of ISO): age, workclass, marital-status, relationship, salary --> native-country (0.10367892976588629)
ISA_AOFD_ER (in the sense of ISO): age, workclass, marital-status, race, sex --> native-country (0.0903010033444816)
ISA_AOFD_ER (in the sense of ISO): age, workclass, marital-status, race, hours-per-week --> native-country (0.06020066889632107)
ISA_AOFD_ER (in the sense of ISO): age, workclass, marital-status, race, salary --> native-country (0.11036789297658862)
ISA_AOFD_ER (in the sense of ISO): age, workclass, marital-status, sex, hours-per-week --> native-country (0.046822742474916385)
ISA_AOFD_ER (in the sense of ISO): age, workclass, marital-status, sex, salary --> native-country (0.0903010033444816)
ISA_AOFD_ER (in the sense of ISO): age, workclass, marital-status, hours-per-week, salary --> native-country (0.06688963210702341)
ISA_AOFD_ER (in the sense of ISO): age, workclass, occupation, relationship, race --> native-country (0.020066889632107024)
ISA_AOFD_ER (in the sense of ISO): age, workclass, occupation, relationship, sex --> native-country (0.026755852842809364)
ISA_AOFD_ER (in the sense of ISO): age, workclass, occupation, relationship, hours-per-week --> native-country (0.006688963210702341)
ISA_AOFD_ER (in the sense of ISO): age, workclass, occupation, relationship, salary --> native-country (0.023411371237458192)
ISA_AOFD_ER (in the sense of ISO): age, workclass, occupation, race, sex --> native-country (0.04013377926421405)
ISA_AOFD_ER (in the sense of ISO): age, workclass, occupation, race, hours-per-week --> native-country (0.023411371237458192)
ISA_AOFD_ER (in the sense of ISO): age, workclass, occupation, race, salary --> native-country (0.046822742474916385)
ISA_AOFD_ER (in the sense of ISO): age, workclass, occupation, sex, hours-per-week --> native-country (0.023411371237458192)
ISA_AOFD_ER (in the sense of ISO): age, workclass, occupation, sex, salary --> native-country (0.043478260869565216)
ISA_AOFD_ER (in the sense of ISO): age, workclass, occupation, hours-per-week, salary --> native-country (0.020066889632107024)
ISA_AOFD_ER (in the sense of ISO): age, workclass, relationship, race, sex --> native-country (0.0903010033444816)
ISA_AOFD_ER (in the sense of ISO): age, workclass, relationship, race, hours-per-week --> native-country (0.05351170568561873)
ISA_AOFD_ER (in the sense of ISO): age, workclass, relationship, race, salary --> native-country (0.10367892976588629)
ISA_AOFD_ER (in the sense of ISO): age, workclass, relationship, sex, hours-per-week --> native-country (0.05016722408026756)
ISA_AOFD_ER (in the sense of ISO): age, workclass, relationship, sex, salary --> native-country (0.10702341137123746)
ISA_AOFD_ER (in the sense of ISO): age, workclass, relationship, hours-per-week, salary --> native-country (0.06354515050167224)
ISA_AOFD_ER (in the sense of ISO): age, workclass, race, sex, hours-per-week --> native-country (0.056856187290969896)
ISA_AOFD_ER (in the sense of ISO): age, workclass, race, sex, salary --> native-country (0.12040133779264214)
ISA_AOFD_ER (in the sense of ISO): age, workclass, race, hours-per-week, salary --> native-country (0.07357859531772576)
ISA_AOFD_ER (in the sense of ISO): age, workclass, sex, hours-per-week, salary --> native-country (0.06688963210702341)
ISA_AOFD_ER (in the sense of ISO): age, education, marital-status, occupation, relationship --> native-country (0.013377926421404682)
ISA_AOFD_ER (in the sense of ISO): age, education, marital-status, occupation, race --> native-country (0.0033444816053511705)
ISA_AOFD_ER (in the sense of ISO): age, education, marital-status, occupation, sex --> native-country (0.020066889632107024)
ISA_AOFD_ER (in the sense of ISO): age, education, marital-status, occupation, hours-per-week --> native-country (0.006688963210702341)
ISA_AOFD_ER (in the sense of ISO): age, education, marital-status, occupation, salary --> native-country (0.016722408026755852)
ISA_AOFD_ER (in the sense of ISO): age, education, marital-status, relationship, race --> native-country (0.030100334448160536)
ISA_AOFD_ER (in the sense of ISO): age, education, marital-status, relationship, sex --> native-country (0.05016722408026756)
ISA_AOFD_ER (in the sense of ISO): age, education, marital-status, relationship, hours-per-week --> native-country (0.020066889632107024)
ISA_AOFD_ER (in the sense of ISO): age, education, marital-status, relationship, salary --> native-country (0.05016722408026756)
ISA_AOFD_ER (in the sense of ISO): age, education, marital-status, race, sex --> native-country (0.023411371237458192)
ISA_AOFD_ER (in the sense of ISO): age, education, marital-status, race, hours-per-week --> native-country (0.013377926421404682)
ISA_AOFD_ER (in the sense of ISO): age, education, marital-status, race, salary --> native-country (0.04013377926421405)
ISA_AOFD_ER (in the sense of ISO): age, education, marital-status, sex, hours-per-week --> native-country (0.016722408026755852)
ISA_AOFD_ER (in the sense of ISO): age, education, marital-status, sex, salary --> native-country (0.043478260869565216)
ISA_AOFD_ER (in the sense of ISO): age, education, marital-status, hours-per-week, salary --> native-country (0.026755852842809364)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status, sex, hours-per-week, salary --> native-country (0.15384615384615385)
ISA_OFD: age, education, occupation, relationship, race --> native-country*ISO
------------------------------------------------------
Running Time:473 (ms) 0 (min) 0 (hour)
